epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,4110.95,0.48308,0.35976,1.10868,0.99676,0.99105,0.9938,0.94075,0.3662,0.2107,0.97498,0.00016835,0.00016835,0.00016835
69,4171.25,0.48227,0.36145,1.10738,0.99672,0.99129,0.994,0.94318,0.36636,0.20873,0.97359,0.0001634,0.0001634,0.0001634
70,4231.39,0.47633,0.35994,1.10262,0.99675,0.9912,0.9943,0.9419,0.36665,0.20847,0.97431,0.00015845,0.00015845,0.00015845
71,4291.91,0.47537,0.35718,1.09981,0.99693,0.99062,0.99418,0.94251,0.36382,0.20551,0.97079,0.0001535,0.0001535,0.0001535
72,4352.39,0.47266,0.35678,1.10068,0.99622,0.98969,0.99414,0.94338,0.36286,0.20394,0.97015,0.00014855,0.00014855,0.00014855
73,4412.82,0.47003,0.34928,1.09707,0.9968,0.99165,0.9943,0.94567,0.36295,0.20412,0.9694,0.0001436,0.0001436,0.0001436
74,4472.82,0.46895,0.34522,1.09795,0.99688,0.99081,0.99439,0.94345,0.36386,0.20497,0.96943,0.00013865,0.00013865,0.00013865
75,4532.72,0.46833,0.34576,1.10036,0.99627,0.99206,0.99429,0.94486,0.36373,0.20846,0.96924,0.0001337,0.0001337,0.0001337
76,4592.74,0.47429,0.36238,1.10144,0.99674,0.9907,0.99393,0.94349,0.36317,0.20556,0.96762,0.00012875,0.00012875,0.00012875
77,4652.24,0.46812,0.34205,1.09923,0.99652,0.99146,0.99393,0.94279,0.36437,0.20547,0.97108,0.0001238,0.0001238,0.0001238
78,4712.17,0.46232,0.34185,1.0885,0.99661,0.99172,0.99371,0.94362,0.36276,0.20593,0.97015,0.00011885,0.00011885,0.00011885
